Station Name,Time Period,Avg Daily Entries
Vienna,Evening (7pm-12am),0.3K
Van Ness-UDC,Evening (7pm-12am),0.3K
Van Dorn Street,Evening (7pm-12am),0.1K
Union Station,Evening (7pm-12am),3.9K
U Street,Evening (7pm-12am),1.8K
Tysons,Evening (7pm-12am),0.7K
Twinbrook,Evening (7pm-12am),0.2K
Tenleytown-AU,Evening (7pm-12am),0.6K
Takoma,Evening (7pm-12am),0.3K
Suitland,Evening (7pm-12am),0.1K
Stadium-Armory,Evening (7pm-12am),0.0K
Spring Hill,Evening (7pm-12am),0.1K
Southern Ave,Evening (7pm-12am),0.2K
Smithsonian,Evening (7pm-12am),0.6K
Silver Spring,Evening (7pm-12am),0.7K
Shaw-Howard U,Evening (7pm-12am),0.6K
Shady Grove,Evening (7pm-12am),0.4K
Rosslyn,Evening (7pm-12am),0.9K
Ronald Reagan Washington National Airport,Evening (7pm-12am),1.2K
Rockville,Evening (7pm-12am),0.2K
Rhode Island Ave,Evening (7pm-12am),0.6K
Reston Town Center,Evening (7pm-12am),0.1K
Potomac Yard,Evening (7pm-12am),0.2K
Potomac Ave,Evening (7pm-12am),0.0K
Pentagon City,Evening (7pm-12am),1.3K
Pentagon,Evening (7pm-12am),0.1K
North Bethesda,Evening (7pm-12am),0.2K
NoMa-Gallaudet U,Evening (7pm-12am),2.4K
New Carrollton,Evening (7pm-12am),0.0K
Naylor Road,Evening (7pm-12am),0.1K
Navy Yard-Ballpark,Evening (7pm-12am),9.7K
Mt Vernon Sq,Evening (7pm-12am),0.8K
Morgan Boulevard,Evening (7pm-12am),0.0K
Minnesota Ave,Evening (7pm-12am),0.0K
Metro Center,Evening (7pm-12am),2.4K
Medical Center,Evening (7pm-12am),0.1K
McPherson Sq,Evening (7pm-12am),0.8K
McLean,Evening (7pm-12am),0.2K
Loudoun Gateway,Evening (7pm-12am),0.0K
Landover,Evening (7pm-12am),0.0K
L'Enfant Plaza,Evening (7pm-12am),1.1K
King St-Old Town,Evening (7pm-12am),0.7K
Judiciary Square,Evening (7pm-12am),0.4K
Innovation Center,Evening (7pm-12am),0.1K
Hyattsville Crossing,Evening (7pm-12am),0.4K
Huntington,Evening (7pm-12am),0.2K
Herndon,Evening (7pm-12am),0.1K
Grosvenor-Strathmore,Evening (7pm-12am),0.2K
Greensboro,Evening (7pm-12am),0.1K
Greenbelt,Evening (7pm-12am),0.3K
Glenmont,Evening (7pm-12am),0.2K
Georgia Ave-Petworth,Evening (7pm-12am),0.5K
Gallery Place,Evening (7pm-12am),5.5K
Friendship Heights,Evening (7pm-12am),0.5K
Franconia-Springfield,Evening (7pm-12am),0.2K
Fort Totten,Evening (7pm-12am),0.5K
Forest Glen,Evening (7pm-12am),0.1K
Foggy Bottom-GWU,Evening (7pm-12am),2.3K
Federal Triangle,Evening (7pm-12am),0.2K
Federal Center SW,Evening (7pm-12am),0.2K
Farragut West,Evening (7pm-12am),0.8K
Farragut North,Evening (7pm-12am),1.0K
Eisenhower Ave,Evening (7pm-12am),0.1K
Eastern Market,Evening (7pm-12am),1.5K
East Falls Church,Evening (7pm-12am),0.2K
Dupont Circle,Evening (7pm-12am),2.2K
Dunn Loring,Evening (7pm-12am),0.2K
Dulles Airport,Evening (7pm-12am),0.6K
Downtown Largo,Evening (7pm-12am),0.1K
Deanwood,Evening (7pm-12am),0.0K
Crystal City,Evening (7pm-12am),0.6K
Court House,Evening (7pm-12am),0.6K
Congress Heights,Evening (7pm-12am),0.1K
Columbia Heights,Evening (7pm-12am),1.2K
College Park-U of Md,Evening (7pm-12am),0.5K
Cleveland Park,Evening (7pm-12am),0.3K
Clarendon,Evening (7pm-12am),0.6K
Cheverly,Evening (7pm-12am),0.0K
Capitol South,Evening (7pm-12am),0.3K
Capitol Heights,Evening (7pm-12am),0.0K
Brookland-CUA,Evening (7pm-12am),0.6K
Branch Ave,Evening (7pm-12am),0.1K
Braddock Road,Evening (7pm-12am),0.2K
Bethesda,Evening (7pm-12am),0.7K
Benning Road,Evening (7pm-12am),0.0K
Ballston-MU,Evening (7pm-12am),0.8K
Ashburn,Evening (7pm-12am),0.1K
Arlington Cemetery,Evening (7pm-12am),0.0K
Archives,Evening (7pm-12am),0.6K
Anacostia,Evening (7pm-12am),0.3K
Addison Road,Evening (7pm-12am),0.3K
Woodley Park,PM Peak (3pm-7pm),1.6K
Wiehle-Reston East,PM Peak (3pm-7pm),0.3K
Wheaton,PM Peak (3pm-7pm),0.5K
West Hyattsville,PM Peak (3pm-7pm),0.4K
West Falls Church,PM Peak (3pm-7pm),0.2K
Waterfront,PM Peak (3pm-7pm),1.1K
Virginia Sq-GMU,PM Peak (3pm-7pm),0.6K
Vienna,PM Peak (3pm-7pm),1.1K
Van Ness-UDC,PM Peak (3pm-7pm),0.7K
Van Dorn Street,PM Peak (3pm-7pm),0.3K
Union Station,PM Peak (3pm-7pm),5.4K
U Street,PM Peak (3pm-7pm),1.7K
Tysons,PM Peak (3pm-7pm),1.0K
Twinbrook,PM Peak (3pm-7pm),0.5K
Tenleytown-AU,PM Peak (3pm-7pm),1.1K
Takoma,PM Peak (3pm-7pm),0.7K
Suitland,PM Peak (3pm-7pm),0.3K
Stadium-Armory,PM Peak (3pm-7pm),0.0K
Spring Hill,PM Peak (3pm-7pm),0.2K
Southern Ave,PM Peak (3pm-7pm),0.3K
Smithsonian,PM Peak (3pm-7pm),3.1K
Silver Spring,PM Peak (3pm-7pm),1.4K
Shaw-Howard U,PM Peak (3pm-7pm),1.0K
Shady Grove,PM Peak (3pm-7pm),1.2K
Rosslyn,PM Peak (3pm-7pm),1.6K
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.4K
Rockville,PM Peak (3pm-7pm),0.6K
Rhode Island Ave,PM Peak (3pm-7pm),1.1K
Reston Town Center,PM Peak (3pm-7pm),0.2K
Potomac Yard,PM Peak (3pm-7pm),0.4K
Potomac Ave,PM Peak (3pm-7pm),0.0K
Pentagon City,PM Peak (3pm-7pm),2.7K
Pentagon,PM Peak (3pm-7pm),0.3K
North Bethesda,PM Peak (3pm-7pm),0.4K
NoMa-Gallaudet U,PM Peak (3pm-7pm),3.3K
New Carrollton,PM Peak (3pm-7pm),0.0K
Naylor Road,PM Peak (3pm-7pm),0.2K
Navy Yard-Ballpark,PM Peak (3pm-7pm),2.4K
Mt Vernon Sq,PM Peak (3pm-7pm),1.0K
Morgan Boulevard,PM Peak (3pm-7pm),0.1K
Minnesota Ave,PM Peak (3pm-7pm),0.0K
Metro Center,PM Peak (3pm-7pm),3.1K
Medical Center,PM Peak (3pm-7pm),0.2K
McPherson Sq,PM Peak (3pm-7pm),1.2K
McLean,PM Peak (3pm-7pm),0.3K
Loudoun Gateway,PM Peak (3pm-7pm),0.1K
Landover,PM Peak (3pm-7pm),0.0K
L'Enfant Plaza,PM Peak (3pm-7pm),2.5K
King St-Old Town,PM Peak (3pm-7pm),1.0K
Judiciary Square,PM Peak (3pm-7pm),0.7K
Innovation Center,PM Peak (3pm-7pm),0.2K
Hyattsville Crossing,PM Peak (3pm-7pm),0.8K
Huntington,PM Peak (3pm-7pm),0.6K
Herndon,PM Peak (3pm-7pm),0.2K
Grosvenor-Strathmore,PM Peak (3pm-7pm),0.4K
Greensboro,PM Peak (3pm-7pm),0.2K
Greenbelt,PM Peak (3pm-7pm),0.9K
Glenmont,PM Peak (3pm-7pm),0.4K
Georgia Ave-Petworth,PM Peak (3pm-7pm),1.0K
Gallery Place,PM Peak (3pm-7pm),3.6K
Friendship Heights,PM Peak (3pm-7pm),0.8K
Franconia-Springfield,PM Peak (3pm-7pm),0.7K
Fort Totten,PM Peak (3pm-7pm),1.1K
Forest Glen,PM Peak (3pm-7pm),0.4K
Foggy Bottom-GWU,PM Peak (3pm-7pm),3.8K
Federal Triangle,PM Peak (3pm-7pm),0.9K
Federal Center SW,PM Peak (3pm-7pm),0.7K
Farragut West,PM Peak (3pm-7pm),1.1K
Farragut North,PM Peak (3pm-7pm),1.4K
Eisenhower Ave,PM Peak (3pm-7pm),0.3K
Eastern Market,PM Peak (3pm-7pm),2.3K
East Falls Church,PM Peak (3pm-7pm),0.6K
Dupont Circle,PM Peak (3pm-7pm),2.8K
Dunn Loring,PM Peak (3pm-7pm),0.3K
Dulles Airport,PM Peak (3pm-7pm),0.8K
Downtown Largo,PM Peak (3pm-7pm),0.2K
Deanwood,PM Peak (3pm-7pm),0.0K
Crystal City,PM Peak (3pm-7pm),1.0K
Court House,PM Peak (3pm-7pm),0.9K
Congress Heights,PM Peak (3pm-7pm),0.2K
Columbia Heights,PM Peak (3pm-7pm),2.2K
College Park-U of Md,PM Peak (3pm-7pm),1.2K
Cleveland Park,PM Peak (3pm-7pm),0.7K
Clarendon,PM Peak (3pm-7pm),0.9K
Cheverly,PM Peak (3pm-7pm),0.0K
Capitol South,PM Peak (3pm-7pm),0.9K
Capitol Heights,PM Peak (3pm-7pm),0.0K
Brookland-CUA,PM Peak (3pm-7pm),1.1K
Branch Ave,PM Peak (3pm-7pm),0.4K
Braddock Road,PM Peak (3pm-7pm),0.5K
Bethesda,PM Peak (3pm-7pm),1.0K
Benning Road,PM Peak (3pm-7pm),0.0K
Ballston-MU,PM Peak (3pm-7pm),1.2K
Ashburn,PM Peak (3pm-7pm),0.3K
Arlington Cemetery,PM Peak (3pm-7pm),0.4K
Archives,PM Peak (3pm-7pm),1.5K
Anacostia,PM Peak (3pm-7pm),0.5K
Addison Road,PM Peak (3pm-7pm),0.3K
Woodley Park,Midday (9:30am-3pm),1.7K
Wiehle-Reston East,Midday (9:30am-3pm),0.6K
Wheaton,Midday (9:30am-3pm),0.7K
West Hyattsville,Midday (9:30am-3pm),0.8K
West Falls Church,Midday (9:30am-3pm),0.4K
Waterfront,Midday (9:30am-3pm),1.1K
Virginia Sq-GMU,Midday (9:30am-3pm),0.8K
Vienna,Midday (9:30am-3pm),1.6K
Van Ness-UDC,Midday (9:30am-3pm),1.1K
Van Dorn Street,Midday (9:30am-3pm),0.5K
Union Station,Midday (9:30am-3pm),3.5K
U Street,Midday (9:30am-3pm),1.8K
Tysons,Midday (9:30am-3pm),0.7K
Twinbrook,Midday (9:30am-3pm),0.8K
Tenleytown-AU,Midday (9:30am-3pm),1.6K
Takoma,Midday (9:30am-3pm),1.1K
Suitland,Midday (9:30am-3pm),0.6K
Stadium-Armory,Midday (9:30am-3pm),0.0K
Spring Hill,Midday (9:30am-3pm),0.2K
Southern Ave,Midday (9:30am-3pm),0.5K
Smithsonian,Midday (9:30am-3pm),1.8K
Silver Spring,Midday (9:30am-3pm),1.9K
Shaw-Howard U,Midday (9:30am-3pm),1.2K
Shady Grove,Midday (9:30am-3pm),1.9K
Rosslyn,Midday (9:30am-3pm),2.1K
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.7K
Rockville,Midday (9:30am-3pm),0.8K
Rhode Island Ave,Midday (9:30am-3pm),1.5K
Reston Town Center,Midday (9:30am-3pm),0.3K
Potomac Yard,Midday (9:30am-3pm),0.7K
Potomac Ave,Midday (9:30am-3pm),0.0K
Pentagon City,Midday (9:30am-3pm),2.9K
Pentagon,Midday (9:30am-3pm),0.5K
North Bethesda,Midday (9:30am-3pm),0.6K
NoMa-Gallaudet U,Midday (9:30am-3pm),3.5K
New Carrollton,Midday (9:30am-3pm),0.1K
Naylor Road,Midday (9:30am-3pm),0.3K
Navy Yard-Ballpark,Midday (9:30am-3pm),2.0K
Mt Vernon Sq,Midday (9:30am-3pm),1.3K
Morgan Boulevard,Midday (9:30am-3pm),0.2K
Minnesota Ave,Midday (9:30am-3pm),0.0K
Metro Center,Midday (9:30am-3pm),2.2K
Medical Center,Midday (9:30am-3pm),0.3K
McPherson Sq,Midday (9:30am-3pm),1.3K
McLean,Midday (9:30am-3pm),0.3K
Loudoun Gateway,Midday (9:30am-3pm),0.1K
Landover,Midday (9:30am-3pm),0.0K
L'Enfant Plaza,Midday (9:30am-3pm),1.6K
King St-Old Town,Midday (9:30am-3pm),1.4K
Judiciary Square,Midday (9:30am-3pm),0.6K
Innovation Center,Midday (9:30am-3pm),0.4K
Hyattsville Crossing,Midday (9:30am-3pm),1.1K
Huntington,Midday (9:30am-3pm),1.1K
Herndon,Midday (9:30am-3pm),0.4K
Grosvenor-Strathmore,Midday (9:30am-3pm),0.9K
Greensboro,Midday (9:30am-3pm),0.3K
Greenbelt,Midday (9:30am-3pm),1.6K
Glenmont,Midday (9:30am-3pm),0.9K
Georgia Ave-Petworth,Midday (9:30am-3pm),1.5K
Gallery Place,Midday (9:30am-3pm),2.6K
Friendship Heights,Midday (9:30am-3pm),1.2K
Franconia-Springfield,Midday (9:30am-3pm),1.2K
Fort Totten,Midday (9:30am-3pm),1.9K
Forest Glen,Midday (9:30am-3pm),0.4K
Foggy Bottom-GWU,Midday (9:30am-3pm),3.6K
Federal Triangle,Midday (9:30am-3pm),0.5K
Federal Center SW,Midday (9:30am-3pm),0.5K
Farragut West,Midday (9:30am-3pm),1.3K
Farragut North,Midday (9:30am-3pm),1.3K
Eisenhower Ave,Midday (9:30am-3pm),0.5K
Eastern Market,Midday (9:30am-3pm),3.7K
East Falls Church,Midday (9:30am-3pm),1.1K
Dupont Circle,Midday (9:30am-3pm),3.3K
Dunn Loring,Midday (9:30am-3pm),0.6K
Dulles Airport,Midday (9:30am-3pm),0.5K
Downtown Largo,Midday (9:30am-3pm),0.4K
Deanwood,Midday (9:30am-3pm),0.0K
Crystal City,Midday (9:30am-3pm),1.6K
Court House,Midday (9:30am-3pm),1.5K
Congress Heights,Midday (9:30am-3pm),0.4K
Columbia Heights,Midday (9:30am-3pm),3.1K
College Park-U of Md,Midday (9:30am-3pm),1.2K
Cleveland Park,Midday (9:30am-3pm),1.1K
Clarendon,Midday (9:30am-3pm),1.0K
Cheverly,Midday (9:30am-3pm),0.0K
Capitol South,Midday (9:30am-3pm),0.9K
Brookland-CUA,Midday (9:30am-3pm),1.4K
Branch Ave,Midday (9:30am-3pm),0.7K
Braddock Road,Midday (9:30am-3pm),0.8K
Bethesda,Midday (9:30am-3pm),1.6K
Benning Road,Midday (9:30am-3pm),0.0K
Ballston-MU,Midday (9:30am-3pm),1.9K
Ashburn,Midday (9:30am-3pm),0.6K
Arlington Cemetery,Midday (9:30am-3pm),0.7K
Archives,Midday (9:30am-3pm),0.8K
Anacostia,Midday (9:30am-3pm),1.0K
Addison Road,Midday (9:30am-3pm),0.3K
Woodley Park,AM Peak (Open-9:30am),0.2K
Wiehle-Reston East,AM Peak (Open-9:30am),0.2K
Wheaton,AM Peak (Open-9:30am),0.2K
West Hyattsville,AM Peak (Open-9:30am),0.5K
West Falls Church,AM Peak (Open-9:30am),0.1K
Waterfront,AM Peak (Open-9:30am),0.2K
Virginia Sq-GMU,AM Peak (Open-9:30am),0.1K
Vienna,AM Peak (Open-9:30am),0.3K
Van Ness-UDC,AM Peak (Open-9:30am),0.2K
Van Dorn Street,AM Peak (Open-9:30am),0.2K
Union Station,AM Peak (Open-9:30am),0.6K
U Street,AM Peak (Open-9:30am),0.2K
Tysons,AM Peak (Open-9:30am),0.1K
Twinbrook,AM Peak (Open-9:30am),0.3K
Tenleytown-AU,AM Peak (Open-9:30am),0.2K
Takoma,AM Peak (Open-9:30am),0.3K
Suitland,AM Peak (Open-9:30am),0.3K
Stadium-Armory,AM Peak (Open-9:30am),0.0K
Spring Hill,AM Peak (Open-9:30am),0.1K
Southern Ave,AM Peak (Open-9:30am),0.3K
Smithsonian,AM Peak (Open-9:30am),0.1K
Silver Spring,AM Peak (Open-9:30am),0.5K
Shaw-Howard U,AM Peak (Open-9:30am),0.2K
Shady Grove,AM Peak (Open-9:30am),0.7K
Rosslyn,AM Peak (Open-9:30am),0.4K
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.3K
Rockville,AM Peak (Open-9:30am),0.2K
Rhode Island Ave,AM Peak (Open-9:30am),0.5K
Reston Town Center,AM Peak (Open-9:30am),0.1K
Potomac Yard,AM Peak (Open-9:30am),0.1K
Potomac Ave,AM Peak (Open-9:30am),0.0K
Pentagon City,AM Peak (Open-9:30am),0.4K
Pentagon,AM Peak (Open-9:30am),0.2K
North Bethesda,AM Peak (Open-9:30am),0.2K
NoMa-Gallaudet U,AM Peak (Open-9:30am),0.6K
New Carrollton,AM Peak (Open-9:30am),0.1K
Naylor Road,AM Peak (Open-9:30am),0.2K
Navy Yard-Ballpark,AM Peak (Open-9:30am),0.4K
Mt Vernon Sq,AM Peak (Open-9:30am),0.2K
Morgan Boulevard,AM Peak (Open-9:30am),0.1K
Minnesota Ave,AM Peak (Open-9:30am),0.0K
Metro Center,AM Peak (Open-9:30am),0.3K
Medical Center,AM Peak (Open-9:30am),0.1K
McPherson Sq,AM Peak (Open-9:30am),0.3K
McLean,AM Peak (Open-9:30am),0.1K
Loudoun Gateway,AM Peak (Open-9:30am),0.0K
Landover,AM Peak (Open-9:30am),0.0K
L'Enfant Plaza,AM Peak (Open-9:30am),0.3K
King St-Old Town,AM Peak (Open-9:30am),0.4K
Judiciary Square,AM Peak (Open-9:30am),0.1K
Innovation Center,AM Peak (Open-9:30am),0.1K
Hyattsville Crossing,AM Peak (Open-9:30am),0.4K
Huntington,AM Peak (Open-9:30am),0.4K
Herndon,AM Peak (Open-9:30am),0.1K
Grosvenor-Strathmore,AM Peak (Open-9:30am),0.2K
Greensboro,AM Peak (Open-9:30am),0.1K
Greenbelt,AM Peak (Open-9:30am),0.4K
Glenmont,AM Peak (Open-9:30am),0.3K
Georgia Ave-Petworth,AM Peak (Open-9:30am),0.4K
Gallery Place,AM Peak (Open-9:30am),0.3K
Friendship Heights,AM Peak (Open-9:30am),0.2K
Franconia-Springfield,AM Peak (Open-9:30am),0.4K
Fort Totten,AM Peak (Open-9:30am),0.9K
Forest Glen,AM Peak (Open-9:30am),0.1K
Foggy Bottom-GWU,AM Peak (Open-9:30am),0.6K
Federal Triangle,AM Peak (Open-9:30am),0.0K
Federal Center SW,AM Peak (Open-9:30am),0.1K
Farragut West,AM Peak (Open-9:30am),0.2K
Farragut North,AM Peak (Open-9:30am),0.2K
Eisenhower Ave,AM Peak (Open-9:30am),0.1K
Eastern Market,AM Peak (Open-9:30am),0.9K
East Falls Church,AM Peak (Open-9:30am),0.2K
Dupont Circle,AM Peak (Open-9:30am),0.4K
Dunn Loring,AM Peak (Open-9:30am),0.2K
Dulles Airport,AM Peak (Open-9:30am),0.3K
Downtown Largo,AM Peak (Open-9:30am),0.2K
Deanwood,AM Peak (Open-9:30am),0.0K
Crystal City,AM Peak (Open-9:30am),0.5K
Court House,AM Peak (Open-9:30am),0.3K
Congress Heights,AM Peak (Open-9:30am),0.2K
Columbia Heights,AM Peak (Open-9:30am),0.7K
College Park-U of Md,AM Peak (Open-9:30am),0.2K
Cleveland Park,AM Peak (Open-9:30am),0.2K
Clarendon,AM Peak (Open-9:30am),0.2K
Cheverly,AM Peak (Open-9:30am),0.1K
Capitol South,AM Peak (Open-9:30am),0.1K
Capitol Heights,AM Peak (Open-9:30am),0.0K
Brookland-CUA,AM Peak (Open-9:30am),0.3K
Branch Ave,AM Peak (Open-9:30am),0.3K
Braddock Road,AM Peak (Open-9:30am),0.2K
Bethesda,AM Peak (Open-9:30am),0.3K
Benning Road,AM Peak (Open-9:30am),0.0K
Ballston-MU,AM Peak (Open-9:30am),0.4K
Ashburn,AM Peak (Open-9:30am),0.1K
Arlington Cemetery,AM Peak (Open-9:30am),0.0K
Archives,AM Peak (Open-9:30am),0.1K
Anacostia,AM Peak (Open-9:30am),0.4K
Addison Road,AM Peak (Open-9:30am),0.1K
