Station Name,Time Period,Avg Daily Entries
Takoma,Midday (9:30am-3pm),0.9K
Suitland,Midday (9:30am-3pm),0.4K
Stadium-Armory,Midday (9:30am-3pm),0.3K
Spring Hill,Midday (9:30am-3pm),0.2K
Southern Ave,Midday (9:30am-3pm),0.4K
Smithsonian,Midday (9:30am-3pm),0.4K
Silver Spring,Midday (9:30am-3pm),1.5K
Shaw-Howard U,Midday (9:30am-3pm),0.7K
Shady Grove,Midday (9:30am-3pm),1.5K
Rosslyn,Midday (9:30am-3pm),1.3K
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.2K
Rockville,Midday (9:30am-3pm),0.5K
Rhode Island Ave,Midday (9:30am-3pm),1.2K
Reston Town Center,Midday (9:30am-3pm),0.2K
Potomac Yard,Midday (9:30am-3pm),0.4K
Potomac Ave,Midday (9:30am-3pm),0.6K
Pentagon City,Midday (9:30am-3pm),2.4K
Pentagon,Midday (9:30am-3pm),0.4K
North Bethesda,Midday (9:30am-3pm),0.5K
NoMa-Gallaudet U,Midday (9:30am-3pm),2.6K
New Carrollton,Midday (9:30am-3pm),0.6K
Naylor Road,Midday (9:30am-3pm),0.2K
Navy Yard-Ballpark,Midday (9:30am-3pm),1.5K
Mt Vernon Sq,Midday (9:30am-3pm),1.1K
Morgan Boulevard,Midday (9:30am-3pm),0.1K
Minnesota Ave,Midday (9:30am-3pm),0.3K
Metro Center,Midday (9:30am-3pm),1.8K
Medical Center,Midday (9:30am-3pm),0.3K
McPherson Sq,Midday (9:30am-3pm),0.0K
McLean,Midday (9:30am-3pm),0.2K
Loudoun Gateway,Midday (9:30am-3pm),0.1K
Landover,Midday (9:30am-3pm),0.1K
L'Enfant Plaza,Midday (9:30am-3pm),1.2K
King St-Old Town,Midday (9:30am-3pm),1.0K
Judiciary Square,Midday (9:30am-3pm),0.4K
Innovation Center,Midday (9:30am-3pm),0.3K
Hyattsville Crossing,Midday (9:30am-3pm),0.8K
Huntington,Midday (9:30am-3pm),1.0K
Herndon,Midday (9:30am-3pm),0.3K
Grosvenor-Strathmore,Midday (9:30am-3pm),0.7K
Greensboro,Midday (9:30am-3pm),0.2K
Greenbelt,Midday (9:30am-3pm),0.9K
Glenmont,Midday (9:30am-3pm),0.8K
Georgia Ave-Petworth,Midday (9:30am-3pm),1.2K
Gallery Place,Midday (9:30am-3pm),4.1K
Friendship Heights,Midday (9:30am-3pm),0.8K
Franconia-Springfield,Midday (9:30am-3pm),1.0K
Fort Totten,Midday (9:30am-3pm),1.5K
Forest Glen,Midday (9:30am-3pm),0.3K
Foggy Bottom-GWU,Midday (9:30am-3pm),3.1K
Federal Triangle,Midday (9:30am-3pm),1.1K
Federal Center SW,Midday (9:30am-3pm),0.3K
Farragut West,Midday (9:30am-3pm),0.0K
Farragut North,Midday (9:30am-3pm),1.3K
Eisenhower Ave,Midday (9:30am-3pm),0.3K
Eastern Market,Midday (9:30am-3pm),1.1K
East Falls Church,Midday (9:30am-3pm),0.8K
Dupont Circle,Midday (9:30am-3pm),3.0K
Dunn Loring,Midday (9:30am-3pm),0.3K
Dulles Airport,Midday (9:30am-3pm),0.4K
Downtown Largo,Midday (9:30am-3pm),0.4K
Deanwood,Midday (9:30am-3pm),0.2K
Crystal City,Midday (9:30am-3pm),1.0K
Court House,Midday (9:30am-3pm),0.8K
Congress Heights,Midday (9:30am-3pm),0.3K
Columbia Heights,Midday (9:30am-3pm),2.6K
College Park-U of Md,Midday (9:30am-3pm),0.6K
Cleveland Park,Midday (9:30am-3pm),0.8K
Clarendon,Midday (9:30am-3pm),0.8K
Cheverly,Midday (9:30am-3pm),0.1K
Capitol South,Midday (9:30am-3pm),0.4K
Capitol Heights,Midday (9:30am-3pm),0.3K
Brookland-CUA,Midday (9:30am-3pm),0.8K
Branch Ave,Midday (9:30am-3pm),0.4K
Braddock Road,Midday (9:30am-3pm),0.6K
Bethesda,Midday (9:30am-3pm),1.2K
Benning Road,Midday (9:30am-3pm),0.4K
Ballston-MU,Midday (9:30am-3pm),1.2K
Ashburn,Midday (9:30am-3pm),0.4K
Arlington Cemetery,Midday (9:30am-3pm),0.2K
Archives,Midday (9:30am-3pm),0.7K
Anacostia,Midday (9:30am-3pm),0.9K
Addison Road,Midday (9:30am-3pm),0.3K
Woodley Park,AM Peak (Open-9:30am),0.1K
Wiehle-Reston East,AM Peak (Open-9:30am),0.1K
Wheaton,AM Peak (Open-9:30am),0.2K
West Hyattsville,AM Peak (Open-9:30am),0.4K
West Falls Church,AM Peak (Open-9:30am),0.1K
Waterfront,AM Peak (Open-9:30am),0.2K
Virginia Sq-GMU,AM Peak (Open-9:30am),0.1K
Vienna,AM Peak (Open-9:30am),0.2K
Van Ness-UDC,AM Peak (Open-9:30am),0.1K
Van Dorn Street,AM Peak (Open-9:30am),0.1K
Union Station,AM Peak (Open-9:30am),0.4K
U Street,AM Peak (Open-9:30am),0.1K
Tysons,AM Peak (Open-9:30am),0.1K
Twinbrook,AM Peak (Open-9:30am),0.2K
Tenleytown-AU,AM Peak (Open-9:30am),0.1K
Takoma,AM Peak (Open-9:30am),0.2K
Suitland,AM Peak (Open-9:30am),0.2K
Stadium-Armory,AM Peak (Open-9:30am),0.1K
Spring Hill,AM Peak (Open-9:30am),0.0K
Southern Ave,AM Peak (Open-9:30am),0.3K
Smithsonian,AM Peak (Open-9:30am),0.0K
Silver Spring,AM Peak (Open-9:30am),0.4K
Shaw-Howard U,AM Peak (Open-9:30am),0.1K
Shady Grove,AM Peak (Open-9:30am),0.5K
Rosslyn,AM Peak (Open-9:30am),0.2K
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.3K
Rockville,AM Peak (Open-9:30am),0.2K
Rhode Island Ave,AM Peak (Open-9:30am),0.4K
Reston Town Center,AM Peak (Open-9:30am),0.0K
Potomac Yard,AM Peak (Open-9:30am),0.1K
Potomac Ave,AM Peak (Open-9:30am),0.2K
Pentagon City,AM Peak (Open-9:30am),0.3K
Pentagon,AM Peak (Open-9:30am),0.2K
North Bethesda,AM Peak (Open-9:30am),0.1K
NoMa-Gallaudet U,AM Peak (Open-9:30am),0.5K
New Carrollton,AM Peak (Open-9:30am),0.2K
Naylor Road,AM Peak (Open-9:30am),0.1K
Navy Yard-Ballpark,AM Peak (Open-9:30am),0.3K
Mt Vernon Sq,AM Peak (Open-9:30am),0.2K
Morgan Boulevard,AM Peak (Open-9:30am),0.1K
Minnesota Ave,AM Peak (Open-9:30am),0.1K
Metro Center,AM Peak (Open-9:30am),0.3K
Medical Center,AM Peak (Open-9:30am),0.1K
McPherson Sq,AM Peak (Open-9:30am),0.0K
McLean,AM Peak (Open-9:30am),0.0K
Loudoun Gateway,AM Peak (Open-9:30am),0.0K
Landover,AM Peak (Open-9:30am),0.1K
L'Enfant Plaza,AM Peak (Open-9:30am),0.2K
King St-Old Town,AM Peak (Open-9:30am),0.3K
Judiciary Square,AM Peak (Open-9:30am),0.0K
Innovation Center,AM Peak (Open-9:30am),0.1K
Hyattsville Crossing,AM Peak (Open-9:30am),0.4K
Huntington,AM Peak (Open-9:30am),0.3K
Herndon,AM Peak (Open-9:30am),0.1K
Grosvenor-Strathmore,AM Peak (Open-9:30am),0.1K
Greensboro,AM Peak (Open-9:30am),0.0K
Greenbelt,AM Peak (Open-9:30am),0.3K
Glenmont,AM Peak (Open-9:30am),0.3K
Georgia Ave-Petworth,AM Peak (Open-9:30am),0.3K
Gallery Place,AM Peak (Open-9:30am),0.4K
Friendship Heights,AM Peak (Open-9:30am),0.2K
Franconia-Springfield,AM Peak (Open-9:30am),0.2K
Fort Totten,AM Peak (Open-9:30am),0.7K
Forest Glen,AM Peak (Open-9:30am),0.1K
Foggy Bottom-GWU,AM Peak (Open-9:30am),0.6K
Federal Triangle,AM Peak (Open-9:30am),0.2K
Federal Center SW,AM Peak (Open-9:30am),0.0K
Farragut West,AM Peak (Open-9:30am),0.0K
Farragut North,AM Peak (Open-9:30am),0.2K
Eisenhower Ave,AM Peak (Open-9:30am),0.1K
Eastern Market,AM Peak (Open-9:30am),0.1K
East Falls Church,AM Peak (Open-9:30am),0.2K
Dupont Circle,AM Peak (Open-9:30am),0.3K
Dunn Loring,AM Peak (Open-9:30am),0.1K
Dulles Airport,AM Peak (Open-9:30am),0.2K
Downtown Largo,AM Peak (Open-9:30am),0.1K
Deanwood,AM Peak (Open-9:30am),0.1K
Crystal City,AM Peak (Open-9:30am),0.2K
Court House,AM Peak (Open-9:30am),0.1K
Congress Heights,AM Peak (Open-9:30am),0.1K
Columbia Heights,AM Peak (Open-9:30am),0.5K
College Park-U of Md,AM Peak (Open-9:30am),0.1K
Cleveland Park,AM Peak (Open-9:30am),0.1K
Clarendon,AM Peak (Open-9:30am),0.1K
Cheverly,AM Peak (Open-9:30am),0.0K
Capitol South,AM Peak (Open-9:30am),0.0K
Capitol Heights,AM Peak (Open-9:30am),0.1K
Brookland-CUA,AM Peak (Open-9:30am),0.2K
Branch Ave,AM Peak (Open-9:30am),0.2K
Braddock Road,AM Peak (Open-9:30am),0.1K
Bethesda,AM Peak (Open-9:30am),0.2K
Benning Road,AM Peak (Open-9:30am),0.2K
Ballston-MU,AM Peak (Open-9:30am),0.2K
Ashburn,AM Peak (Open-9:30am),0.1K
Arlington Cemetery,AM Peak (Open-9:30am),0.0K
Archives,AM Peak (Open-9:30am),0.0K
Anacostia,AM Peak (Open-9:30am),0.4K
Addison Road,AM Peak (Open-9:30am),0.2K
