Station Name,Time Period,Avg Daily Entries
Shaw-Howard U,Midday (9:30am-3pm),0.8K
Shady Grove,Midday (9:30am-3pm),1.4K
Rosslyn,Midday (9:30am-3pm),1.9K
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.9K
Rockville,Midday (9:30am-3pm),0.7K
Rhode Island Ave,Midday (9:30am-3pm),1.4K
Reston Town Center,Midday (9:30am-3pm),0.2K
Potomac Yard,Midday (9:30am-3pm),0.3K
Potomac Ave,Midday (9:30am-3pm),0.7K
Pentagon City,Midday (9:30am-3pm),2.1K
Pentagon,Midday (9:30am-3pm),2.0K
North Bethesda,Midday (9:30am-3pm),0.6K
NoMa-Gallaudet U,Midday (9:30am-3pm),2.4K
New Carrollton,Midday (9:30am-3pm),0.9K
Naylor Road,Midday (9:30am-3pm),0.4K
Navy Yard-Ballpark,Midday (9:30am-3pm),1.4K
Mt Vernon Sq,Midday (9:30am-3pm),1.0K
Morgan Boulevard,Midday (9:30am-3pm),0.2K
Minnesota Ave,Midday (9:30am-3pm),0.5K
Metro Center,Midday (9:30am-3pm),3.0K
Medical Center,Midday (9:30am-3pm),0.7K
McPherson Sq,Midday (9:30am-3pm),1.8K
McLean,Midday (9:30am-3pm),0.5K
Loudoun Gateway,Midday (9:30am-3pm),0.1K
Landover,Midday (9:30am-3pm),0.2K
L'Enfant Plaza,Midday (9:30am-3pm),2.7K
King St-Old Town,Midday (9:30am-3pm),1.2K
Judiciary Square,Midday (9:30am-3pm),0.9K
Innovation Center,Midday (9:30am-3pm),0.2K
Hyattsville Crossing,Midday (9:30am-3pm),0.8K
Huntington,Midday (9:30am-3pm),0.9K
Herndon,Midday (9:30am-3pm),0.2K
Grosvenor-Strathmore,Midday (9:30am-3pm),0.7K
Greensboro,Midday (9:30am-3pm),0.2K
Greenbelt,Midday (9:30am-3pm),0.8K
Glenmont,Midday (9:30am-3pm),0.0K
Georgia Ave-Petworth,Midday (9:30am-3pm),1.4K
Gallery Place,Midday (9:30am-3pm),2.6K
Friendship Heights,Midday (9:30am-3pm),1.3K
Franconia-Springfield,Midday (9:30am-3pm),1.0K
Fort Totten,Midday (9:30am-3pm),3.3K
Forest Glen,Midday (9:30am-3pm),0.1K
Foggy Bottom-GWU,Midday (9:30am-3pm),2.9K
Federal Triangle,Midday (9:30am-3pm),1.2K
Federal Center SW,Midday (9:30am-3pm),0.7K
Farragut West,Midday (9:30am-3pm),2.3K
Farragut North,Midday (9:30am-3pm),2.3K
Eisenhower Ave,Midday (9:30am-3pm),0.3K
Eastern Market,Midday (9:30am-3pm),1.2K
East Falls Church,Midday (9:30am-3pm),0.7K
Dupont Circle,Midday (9:30am-3pm),2.4K
Dunn Loring,Midday (9:30am-3pm),0.5K
Dulles Airport,Midday (9:30am-3pm),0.6K
Downtown Largo,Midday (9:30am-3pm),0.5K
Deanwood,Midday (9:30am-3pm),0.3K
Crystal City,Midday (9:30am-3pm),1.3K
Court House,Midday (9:30am-3pm),1.0K
Congress Heights,Midday (9:30am-3pm),0.6K
Columbia Heights,Midday (9:30am-3pm),2.3K
College Park-U of Md,Midday (9:30am-3pm),0.6K
Cleveland Park,Midday (9:30am-3pm),0.7K
Clarendon,Midday (9:30am-3pm),0.7K
Cheverly,Midday (9:30am-3pm),0.2K
Capitol South,Midday (9:30am-3pm),1.4K
Capitol Heights,Midday (9:30am-3pm),0.4K
Brookland-CUA,Midday (9:30am-3pm),1.1K
Branch Ave,Midday (9:30am-3pm),0.6K
Braddock Road,Midday (9:30am-3pm),0.5K
Bethesda,Midday (9:30am-3pm),1.4K
Benning Road,Midday (9:30am-3pm),0.6K
Ballston-MU,Midday (9:30am-3pm),1.3K
Ashburn,Midday (9:30am-3pm),0.3K
Arlington Cemetery,Midday (9:30am-3pm),0.8K
Archives,Midday (9:30am-3pm),1.1K
Anacostia,Midday (9:30am-3pm),1.2K
Addison Road,Midday (9:30am-3pm),0.4K
Woodley Park,AM Peak (Open-9:30am),1.6K
Wiehle-Reston East,AM Peak (Open-9:30am),1.1K
West Hyattsville,AM Peak (Open-9:30am),1.7K
West Falls Church,AM Peak (Open-9:30am),1.0K
Waterfront,AM Peak (Open-9:30am),1.0K
Virginia Sq-GMU,AM Peak (Open-9:30am),1.3K
Vienna,AM Peak (Open-9:30am),2.9K
Van Ness-UDC,AM Peak (Open-9:30am),1.5K
Van Dorn Street,AM Peak (Open-9:30am),1.0K
Union Station,AM Peak (Open-9:30am),5.6K
U Street,AM Peak (Open-9:30am),1.6K
Tysons,AM Peak (Open-9:30am),0.4K
Twinbrook,AM Peak (Open-9:30am),1.6K
Tenleytown-AU,AM Peak (Open-9:30am),1.3K
Takoma,AM Peak (Open-9:30am),0.0K
Suitland,AM Peak (Open-9:30am),1.8K
Stadium-Armory,AM Peak (Open-9:30am),0.8K
Spring Hill,AM Peak (Open-9:30am),0.3K
Southern Ave,AM Peak (Open-9:30am),1.9K
Smithsonian,AM Peak (Open-9:30am),0.2K
Shaw-Howard U,AM Peak (Open-9:30am),1.1K
Shady Grove,AM Peak (Open-9:30am),4.8K
Rosslyn,AM Peak (Open-9:30am),2.3K
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.6K
Rockville,AM Peak (Open-9:30am),1.5K
Rhode Island Ave,AM Peak (Open-9:30am),2.0K
Reston Town Center,AM Peak (Open-9:30am),0.5K
Potomac Yard,AM Peak (Open-9:30am),0.8K
Potomac Ave,AM Peak (Open-9:30am),1.5K
Pentagon City,AM Peak (Open-9:30am),2.9K
Pentagon,AM Peak (Open-9:30am),2.9K
North Bethesda,AM Peak (Open-9:30am),1.2K
NoMa-Gallaudet U,AM Peak (Open-9:30am),4.1K
New Carrollton,AM Peak (Open-9:30am),2.5K
Naylor Road,AM Peak (Open-9:30am),0.9K
Navy Yard-Ballpark,AM Peak (Open-9:30am),2.2K
Mt Vernon Sq,AM Peak (Open-9:30am),1.1K
Morgan Boulevard,AM Peak (Open-9:30am),0.7K
Minnesota Ave,AM Peak (Open-9:30am),0.8K
Metro Center,AM Peak (Open-9:30am),1.3K
Medical Center,AM Peak (Open-9:30am),0.6K
McPherson Sq,AM Peak (Open-9:30am),1.5K
McLean,AM Peak (Open-9:30am),0.5K
Loudoun Gateway,AM Peak (Open-9:30am),0.2K
Landover,AM Peak (Open-9:30am),0.8K
L'Enfant Plaza,AM Peak (Open-9:30am),1.6K
King St-Old Town,AM Peak (Open-9:30am),1.7K
Judiciary Square,AM Peak (Open-9:30am),0.4K
Innovation Center,AM Peak (Open-9:30am),0.5K
Hyattsville Crossing,AM Peak (Open-9:30am),1.7K
Huntington,AM Peak (Open-9:30am),2.7K
Herndon,AM Peak (Open-9:30am),0.8K
Grosvenor-Strathmore,AM Peak (Open-9:30am),2.0K
Greensboro,AM Peak (Open-9:30am),0.3K
Greenbelt,AM Peak (Open-9:30am),2.4K
Glenmont,AM Peak (Open-9:30am),0.0K
Georgia Ave-Petworth,AM Peak (Open-9:30am),2.1K
Gallery Place,AM Peak (Open-9:30am),1.1K
Friendship Heights,AM Peak (Open-9:30am),1.8K
Franconia-Springfield,AM Peak (Open-9:30am),2.3K
Fort Totten,AM Peak (Open-9:30am),6.6K
Forest Glen,AM Peak (Open-9:30am),0.1K
Foggy Bottom-GWU,AM Peak (Open-9:30am),2.8K
Federal Triangle,AM Peak (Open-9:30am),0.1K
Federal Center SW,AM Peak (Open-9:30am),0.3K
Farragut West,AM Peak (Open-9:30am),1.1K
Farragut North,AM Peak (Open-9:30am),0.8K
Eisenhower Ave,AM Peak (Open-9:30am),0.6K
Eastern Market,AM Peak (Open-9:30am),1.4K
East Falls Church,AM Peak (Open-9:30am),1.9K
Dupont Circle,AM Peak (Open-9:30am),2.7K
Dunn Loring,AM Peak (Open-9:30am),1.3K
Dulles Airport,AM Peak (Open-9:30am),0.5K
Downtown Largo,AM Peak (Open-9:30am),1.8K
Deanwood,AM Peak (Open-9:30am),0.5K
Crystal City,AM Peak (Open-9:30am),2.0K
Court House,AM Peak (Open-9:30am),2.1K
Congress Heights,AM Peak (Open-9:30am),1.0K
Columbia Heights,AM Peak (Open-9:30am),2.8K
College Park-U of Md,AM Peak (Open-9:30am),1.3K
Cleveland Park,AM Peak (Open-9:30am),1.1K
Clarendon,AM Peak (Open-9:30am),1.4K
Cheverly,AM Peak (Open-9:30am),0.4K
Capitol South,AM Peak (Open-9:30am),0.8K
Capitol Heights,AM Peak (Open-9:30am),1.0K
Brookland-CUA,AM Peak (Open-9:30am),1.9K
Branch Ave,AM Peak (Open-9:30am),2.1K
Braddock Road,AM Peak (Open-9:30am),1.5K
Bethesda,AM Peak (Open-9:30am),2.1K
Benning Road,AM Peak (Open-9:30am),1.1K
Ballston-MU,AM Peak (Open-9:30am),3.0K
Ashburn,AM Peak (Open-9:30am),1.2K
Arlington Cemetery,AM Peak (Open-9:30am),0.1K
Archives,AM Peak (Open-9:30am),0.2K
Anacostia,AM Peak (Open-9:30am),1.6K
Addison Road,AM Peak (Open-9:30am),1.1K
